model,feature_set,n_repeats,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_precision_mean,macro_precision_sd,macro_precision_ci_low,macro_precision_ci_high,macro_recall_mean,macro_recall_sd,macro_recall_ci_low,macro_recall_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,mcc_mean,mcc_sd,mcc_ci_low,mcc_ci_high
GBT,nonpostural,10,0.9566666666666667,0.0325841739969226,0.9333573527726183,0.979975980560715,0.9532591414944356,0.03425572048339256,0.92875407527764,0.9777642077112312,0.9728824907349412,0.023466992427848412,0.9560952156393185,0.9896697658305638,0.9532591414944356,0.03425572048339256,0.92875407527764,0.9777642077112312,0.961052278701721,0.029928838038705344,0.9396424777230556,0.9824620796803865,0.9188535929056242,0.061172738404187174,0.875093252031052,0.9626139337801963
GBT,combined,10,0.95,0.031426968052735434,0.9275185013697562,0.9724814986302437,0.9403462285815227,0.043490475231703206,0.9092350167805777,0.9714574403824677,0.9672826301286619,0.02438129403565622,0.9498413030637538,0.98472395719357,0.9403462285815227,0.043490475231703206,0.9092350167805777,0.9714574403824677,0.9508862699522591,0.03597763735583331,0.9251494186092556,0.9766231212952626,0.9059489552678051,0.0596894086832809,0.8632497245529147,0.9486481859826954
GBT,postural,10,0.7333333333333333,0.034246744460938776,0.7088346881761881,0.7578319784904785,0.6807366189719131,0.041823842830987154,0.6508176441685347,0.7106555937752914,0.7263725681126383,0.04267043496227176,0.6958479777816051,0.7568971584436714,0.6807366189719131,0.041823842830987154,0.6508176441685347,0.7106555937752914,0.6970367536658525,0.03990706460451598,0.6684889594039946,0.7255845479277104,0.48053116250569305,0.07562461420548257,0.4264325724724339,0.5346297525389523
