model,feature_set,n_repeats,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_precision_mean,macro_precision_sd,macro_precision_ci_low,macro_precision_ci_high,macro_recall_mean,macro_recall_sd,macro_recall_ci_low,macro_recall_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,mcc_mean,mcc_sd,mcc_ci_low,mcc_ci_high
GBT,combined,10,0.95,0.031426968052735434,0.9275185013697562,0.9724814986302437,0.9403462285815227,0.043490475231703206,0.9092350167805777,0.9714574403824677,0.9672826301286619,0.02438129403565622,0.9498413030637538,0.98472395719357,0.9403462285815227,0.043490475231703206,0.9092350167805777,0.9714574403824677,0.9508862699522591,0.03597763735583331,0.9251494186092556,0.9766231212952626,0.9059489552678051,0.0596894086832809,0.8632497245529147,0.9486481859826954
RF,combined,10,0.9266666666666665,0.03442651863295482,0.9020394188140546,0.9512939145192785,0.9287934993817345,0.03996007494118696,0.9002077838094511,0.9573792149540179,0.9264816751736257,0.047022000818016,0.8928441621558997,0.9601191881913517,0.9287934993817345,0.03996007494118696,0.9002077838094511,0.9573792149540179,0.9244407996850097,0.04171416812982656,0.8946002814365168,0.9542813179335026,0.8628623880873368,0.06313293904735655,0.8176998041455853,0.9080249720290884
AB,combined,10,0.9233333333333335,0.014054567378526133,0.9132793014986748,0.9333873651679921,0.9280515809927575,0.03366396110241756,0.9039698339358153,0.9521333280496997,0.9354177875694903,0.011950680428040896,0.9268687857942428,0.9439667893447379,0.9280515809927575,0.03366396110241756,0.9039698339358153,0.9521333280496997,0.9297320892522132,0.023619703290725047,0.912835571386215,0.9466286071182114,0.8566205729268461,0.028177077381221428,0.8364639060321195,0.8767772398215727
SVM,combined,10,0.9199999999999999,0.02581988897471609,0.901529564110541,0.9384704358894589,0.9264794205970677,0.027326743064441848,0.9069310462282333,0.9460277949659021,0.8903814461651148,0.0413807136287833,0.8607794668967703,0.9199834254334593,0.9264794205970677,0.027326743064441848,0.9069310462282333,0.9460277949659021,0.9047915612558082,0.03059763980511716,0.8829033283148147,0.9266797941968017,0.8554939346865028,0.043045754851115406,0.8247008566810372,0.8862870126919684
LR,combined,10,0.9083333333333332,0.022566773346211,0.8921900361746464,0.92447663049202,0.9201731142907615,0.04287551028887941,0.8895018219085954,0.9508444066729277,0.864906137893754,0.03254314621579977,0.8416261735062686,0.8881861022812395,0.9201731142907615,0.04287551028887941,0.8895018219085954,0.9508444066729277,0.8881177853200641,0.03548046560847859,0.8627365892199843,0.913498981420144,0.8352619538007853,0.0413492836335994,0.8056824581965502,0.8648414494050204
DT,combined,10,0.86,0.022498285257018424,0.8439056962688939,0.8760943037311061,0.8800388623918037,0.03756600504831547,0.8531657612507624,0.9069119635328451,0.8764703435910868,0.018674416108070305,0.8631114710632088,0.8898292161189647,0.8800388623918037,0.03756600504831547,0.8531657612507624,0.9069119635328451,0.8738310709623228,0.027372231271530784,0.8542501562904071,0.8934119856342385,0.7428005891625904,0.042548484949429914,0.7123632366154268,0.773237941709754
NB,combined,10,0.885,0.016573815433529232,0.8731438066713417,0.8968561933286583,0.7797650591768239,0.021981020035066356,0.7640407846944597,0.7954893336591882,0.9167158978459288,0.012556358809244689,0.90773361985789,0.9256981758339675,0.7797650591768239,0.021981020035066356,0.7640407846944597,0.7954893336591882,0.8169436818105549,0.02059175701661763,0.8022132262226476,0.8316741373984622,0.7783664834821402,0.03363428414920428,0.7543059660386273,0.8024270009256531
kNN,combined,10,0.8416666666666668,0.0161970885967925,0.8300799674823326,0.853253365851001,0.7621974916092562,0.025214607937912723,0.7441600476895276,0.7802349355289848,0.8240118720379639,0.029363342399312528,0.8030066022702345,0.8450171418056933,0.7621974916092562,0.025214607937912723,0.7441600476895276,0.7802349355289848,0.7857983931037527,0.023084371375906645,0.7692848286200064,0.802311957587499,0.6941337279065272,0.03184271446864533,0.6713548222065298,0.7169126336065246
