model,feature_set,repeat,fold,inner_best_balanced_accuracy,best_params
NB,combined,5,3,0.7611111111111111,"{""model__var_smoothing"": 1e-11}"
kNN,combined,5,3,0.7555555555555555,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,5,3,0.8944444444444445,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,5,3,0.9888888888888889,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,5,3,0.9666666666666667,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,5,3,0.9666666666666667,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,5,3,0.9722222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,5,4,0.9611111111111111,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,5,4,0.7111111111111111,"{""model__var_smoothing"": 1e-07}"
kNN,combined,5,4,0.7944444444444444,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,5,4,0.9055555555555554,"{""model__class_weight"": null, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,5,4,0.9055555555555554,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,5,4,0.9388888888888888,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,5,4,0.8944444444444444,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 50}"
GBT,combined,5,4,0.9055555555555554,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,6,0,0.8666666666666667,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,6,0,0.6666666666666666,"{""model__var_smoothing"": 1e-09}"
kNN,combined,6,0,0.7833333333333333,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,6,0,0.9333333333333335,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 2}"
RF,combined,6,0,0.9555555555555556,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,6,0,0.8555555555555555,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,6,0,0.8444444444444444,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,6,0,0.8555555555555555,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,6,1,0.9543209876543209,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,6,1,0.7432098765432099,"{""model__var_smoothing"": 1e-11}"
kNN,combined,6,1,0.8166666666666668,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,6,1,0.9444444444444443,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2}"
RF,combined,6,1,0.9777777777777777,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,6,1,0.9765432098765432,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,6,1,0.8222222222222221,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,6,1,0.8333333333333334,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,6,2,0.9777777777777777,"{""model__C"": 1.0, ""model__class_weight"": null}"
NB,combined,6,2,0.7765432098765431,"{""model__var_smoothing"": 1e-11}"
kNN,combined,6,2,0.7222222222222222,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,6,2,0.9432098765432099,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,6,2,0.9555555555555556,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,6,2,0.9777777777777777,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,6,2,0.9432098765432099,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 50}"
GBT,combined,6,2,0.9432098765432099,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,6,3,0.9277777777777777,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,6,3,0.7666666666666666,"{""model__var_smoothing"": 1e-11}"
kNN,combined,6,3,0.7999999999999999,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,6,3,0.8500000000000001,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,6,3,0.9611111111111111,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,6,3,0.9277777777777777,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,6,3,0.8833333333333333,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 25}"
GBT,combined,6,3,0.8833333333333333,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,6,4,0.8833333333333333,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,6,4,0.8388888888888889,"{""model__var_smoothing"": 1e-11}"
kNN,combined,6,4,0.8166666666666668,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,6,4,0.9055555555555556,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,6,4,0.8944444444444444,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,6,4,0.9277777777777777,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,6,4,0.9222222222222222,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,6,4,0.9277777777777777,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,7,0,0.9666666666666667,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,7,0,0.6222222222222222,"{""model__var_smoothing"": 1e-11}"
kNN,combined,7,0,0.6555555555555556,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,7,0,0.911111111111111,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,7,0,0.9666666666666667,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,7,0,0.9222222222222222,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,7,0,0.9333333333333332,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,7,0,0.9444444444444445,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,7,1,0.9407407407407407,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,7,1,0.8209876543209876,"{""model__var_smoothing"": 1e-09}"
kNN,combined,7,1,0.8222222222222221,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,7,1,0.9283950617283949,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2}"
RF,combined,7,1,0.9666666666666667,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 2}"
SVM,combined,7,1,0.9432098765432099,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,7,1,0.9543209876543209,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
GBT,combined,7,1,0.965432098765432,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,7,2,0.9308641975308642,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,7,2,0.6999999999999998,"{""model__var_smoothing"": 1e-07}"
kNN,combined,7,2,0.6376543209876543,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,7,2,0.8148148148148149,"{""model__class_weight"": null, ""model__max_depth"": 2, ""model__min_samples_leaf"": 6}"
RF,combined,7,2,0.9364197530864198,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}"
SVM,combined,7,2,0.8364197530864198,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,7,2,0.804320987654321,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 50}"
GBT,combined,7,2,0.804320987654321,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,7,3,0.8277777777777778,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,7,3,0.7944444444444444,"{""model__var_smoothing"": 1e-11}"
kNN,combined,7,3,0.7999999999999999,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,7,3,0.8666666666666667,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,7,3,0.8722222222222222,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,7,3,0.8055555555555555,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,7,3,0.8666666666666667,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,7,3,0.8722222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,7,4,0.9333333333333335,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,7,4,0.7555555555555555,"{""model__var_smoothing"": 1e-11}"
kNN,combined,7,4,0.8666666666666667,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,7,4,0.8055555555555557,"{""model__class_weight"": null, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,7,4,0.9333333333333332,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,7,4,0.9555555555555556,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,7,4,0.7833333333333333,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 25}"
GBT,combined,7,4,0.7888888888888889,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,8,0,0.9,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,8,0,0.7277777777777779,"{""model__var_smoothing"": 1e-11}"
kNN,combined,8,0,0.85,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,8,0,0.9277777777777777,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,8,0,0.9666666666666667,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}"
SVM,combined,8,0,0.9555555555555556,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,8,0,0.9611111111111111,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,8,0,0.9722222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,8,1,0.9277777777777777,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,8,1,0.6833333333333332,"{""model__var_smoothing"": 1e-11}"
kNN,combined,8,1,0.8111111111111112,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,8,1,0.838888888888889,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,8,1,0.8999999999999999,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,8,1,0.9388888888888888,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,8,1,0.7944444444444444,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 25}"
GBT,combined,8,1,0.8500000000000001,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,8,2,0.8876543209876543,"{""model__C"": 10.0, ""model__class_weight"": null}"
NB,combined,8,2,0.5975308641975309,"{""model__var_smoothing"": 1e-11}"
kNN,combined,8,2,0.7432098765432098,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,8,2,0.9209876543209877,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,8,2,0.9777777777777777,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 5, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,8,2,0.8765432098765432,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,8,2,0.9111111111111111,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
GBT,combined,8,2,0.9222222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,8,3,0.8388888888888889,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,8,3,0.7555555555555555,"{""model__var_smoothing"": 1e-11}"
kNN,combined,8,3,0.7722222222222221,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,8,3,0.9333333333333332,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,8,3,0.9722222222222222,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,8,3,0.8444444444444444,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,8,3,0.9444444444444443,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 100}"
GBT,combined,8,3,0.9611111111111111,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,8,4,0.7833333333333333,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,8,4,0.6277777777777778,"{""model__var_smoothing"": 1e-11}"
kNN,combined,8,4,0.6722222222222222,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,8,4,0.8833333333333333,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,8,4,0.9444444444444443,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}"
SVM,combined,8,4,0.8277777777777778,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,8,4,0.9166666666666666,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,8,4,0.9,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,9,0,0.9166666666666666,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,9,0,0.7999999999999999,"{""model__var_smoothing"": 1e-11}"
kNN,combined,9,0,0.75,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,9,0,0.9333333333333332,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,9,0,0.9611111111111111,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,9,0,0.9277777777777777,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,9,0,0.9611111111111111,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 25}"
GBT,combined,9,0,0.9388888888888888,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,9,1,0.9185185185185185,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,9,1,0.8222222222222223,"{""model__var_smoothing"": 1e-11}"
kNN,combined,9,1,0.8277777777777778,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,9,1,0.8975308641975309,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,9,1,0.965432098765432,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,9,1,0.8820987654320986,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,9,1,0.9530864197530864,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,9,1,0.965432098765432,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,9,2,0.9043209876543209,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,9,2,0.7222222222222222,"{""model__var_smoothing"": 1e-07}"
kNN,combined,9,2,0.6611111111111111,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,9,2,0.8888888888888888,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2}"
RF,combined,9,2,0.9055555555555556,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,9,2,0.915432098765432,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,9,2,0.811111111111111,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,9,2,0.811111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
LR,combined,9,3,0.8944444444444444,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,9,3,0.7000000000000001,"{""model__var_smoothing"": 1e-09}"
kNN,combined,9,3,0.7833333333333332,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,9,3,0.8833333333333333,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2}"
RF,combined,9,3,0.9166666666666666,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,9,3,0.9055555555555556,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,9,3,0.8944444444444444,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,9,3,0.9055555555555556,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,9,4,0.9555555555555556,"{""model__C"": 10.0, ""model__class_weight"": null}"
NB,combined,9,4,0.7777777777777778,"{""model__var_smoothing"": 1e-11}"
kNN,combined,9,4,0.8055555555555557,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
DT,combined,9,4,1.0,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,9,4,0.9888888888888889,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 2}"
SVM,combined,9,4,0.9555555555555554,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,9,4,0.9888888888888889,"{""model__learning_rate"": 0.5, ""model__n_estimators"": 25}"
GBT,combined,9,4,0.9444444444444445,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,0,0,0.7666666666666667,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,0,1,0.6487654320987654,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,0,2,0.7419753086419753,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,0,3,0.7388888888888889,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,0,4,0.5611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,1,0,0.8666666666666666,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,1,1,0.6117283950617284,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 50}"
GBT,postural,1,2,0.9209876543209877,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,1,3,0.8111111111111112,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 50}"
GBT,postural,1,4,0.6055555555555555,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,2,0,0.6777777777777777,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,2,1,0.7320987654320987,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,2,2,0.8117283950617283,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,2,3,0.6944444444444443,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,2,4,0.7888888888888889,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 50}"
GBT,postural,3,0,0.5833333333333335,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,3,1,0.851851851851852,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,3,2,0.5987654320987654,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,3,3,0.7222222222222223,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,3,4,0.8166666666666668,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,4,0,0.6611111111111111,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,4,1,0.854320987654321,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,4,2,0.7098765432098765,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,4,3,0.6666666666666666,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,4,4,0.7000000000000001,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,5,0,0.8222222222222223,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 50}"
GBT,postural,5,1,0.6740740740740742,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,5,2,0.6962962962962962,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,5,3,0.6611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,5,4,0.7277777777777779,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,6,0,0.8222222222222221,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,6,1,0.7654320987654321,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,6,2,0.6253086419753086,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,6,3,0.8277777777777778,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,6,4,0.5833333333333334,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,7,0,0.8500000000000001,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
GBT,postural,7,1,0.6296296296296297,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
GBT,postural,7,2,0.8000000000000002,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
GBT,postural,7,3,0.688888888888889,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
