model,feature_set,n_repeats,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_precision_mean,macro_precision_sd,macro_precision_ci_low,macro_precision_ci_high,macro_recall_mean,macro_recall_sd,macro_recall_ci_low,macro_recall_ci_high,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,mcc_mean,mcc_sd,mcc_ci_low,mcc_ci_high
GBT,combined,10,0.95,0.031426968052735434,0.9275185013697562,0.9724814986302437,0.9403462285815227,0.043490475231703206,0.9092350167805777,0.9714574403824677,0.9672826301286619,0.02438129403565622,0.9498413030637538,0.98472395719357,0.9403462285815227,0.043490475231703206,0.9092350167805777,0.9714574403824677,0.9508862699522591,0.03597763735583331,0.9251494186092556,0.9766231212952626,0.9059489552678051,0.0596894086832809,0.8632497245529147,0.9486481859826954
RF,combined,10,0.9333333333333333,0.032394177193585,0.910159934964665,0.9565067317020017,0.9355767532238118,0.03979475788735845,0.9071092983476594,0.9640442080999643,0.9289407717390425,0.04829985603251913,0.8943891361687911,0.963492407309294,0.9355767532238118,0.03979475788735845,0.9071092983476594,0.9640442080999643,0.928702651691169,0.040814394757933865,0.8995057925380681,0.9578995108442698,0.8763274773303538,0.059019349488851534,0.8341075780876076,0.9185473765730999
SVM,combined,10,0.9199999999999999,0.02581988897471609,0.901529564110541,0.9384704358894589,0.9311340752517223,0.02921009953008848,0.910238428828783,0.9520297216746616,0.8894669868141231,0.039666908379791546,0.8610909899661335,0.9178429836621126,0.9311340752517223,0.02921009953008848,0.910238428828783,0.9520297216746616,0.9068889760623285,0.03360342000026986,0.8828505375009027,0.9309274146237544,0.8557382232598755,0.04336126641157572,0.824719441880721,0.88675700463903
AB,combined,10,0.9233333333333335,0.014054567378526133,0.9132793014986748,0.9333873651679921,0.9280515809927575,0.03366396110241756,0.9039698339358153,0.9521333280496997,0.9354177875694903,0.011950680428040896,0.9268687857942428,0.9439667893447379,0.9280515809927575,0.03366396110241756,0.9039698339358153,0.9521333280496997,0.9297320892522132,0.023619703290725047,0.912835571386215,0.9466286071182114,0.8566205729268461,0.028177077381221428,0.8364639060321195,0.8767772398215727
LR,combined,10,0.9099999999999999,0.023830678432808002,0.8929525596091246,0.9270474403908753,0.9257286698463169,0.031884960567257696,0.9029195431079268,0.9485377965847069,0.8735621175636655,0.03968145514786917,0.8451757145846721,0.901948520542659,0.9257286698463169,0.031884960567257696,0.9029195431079268,0.9485377965847069,0.8951473252418083,0.03503579392469421,0.8700842281016132,0.9202104223820033,0.8390979769656974,0.04089535076078595,0.8098432053768765,0.8683527485545184
DT,combined,10,0.86,0.022498285257018424,0.8439056962688939,0.8760943037311061,0.8800388623918037,0.03756600504831547,0.8531657612507624,0.9069119635328451,0.8764703435910868,0.018674416108070305,0.8631114710632088,0.8898292161189647,0.8800388623918037,0.03756600504831547,0.8531657612507624,0.9069119635328451,0.8738310709623228,0.027372231271530784,0.8542501562904071,0.8934119856342385,0.7428005891625904,0.042548484949429914,0.7123632366154268,0.773237941709754
NB,combined,10,0.885,0.016573815433529232,0.8731438066713417,0.8968561933286583,0.7797650591768239,0.021981020035066356,0.7640407846944597,0.7954893336591882,0.9167158978459288,0.012556358809244689,0.90773361985789,0.9256981758339675,0.7797650591768239,0.021981020035066356,0.7640407846944597,0.7954893336591882,0.8169436818105549,0.02059175701661763,0.8022132262226476,0.8316741373984622,0.7783664834821402,0.03363428414920428,0.7543059660386273,0.8024270009256531
kNN,combined,10,0.8433333333333334,0.02108185106778919,0.8282522855813453,0.8584143810853214,0.7584437378555025,0.029320173109545905,0.7374693495373335,0.7794181261736715,0.8247372873549846,0.03586303496440704,0.7990824176241287,0.8503921570858406,0.7584437378555025,0.029320173109545905,0.7374693495373335,0.7794181261736715,0.7828005717083949,0.02719834734601328,0.7633440461034354,0.8022570973133544,0.6980783972131174,0.041399831719479835,0.668462741686564,0.7276940527396707
