model,feature_set,repeat,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc
AB,combined,0,0.9333333333333333,0.9533651298357181,0.937844611528822,0.9533651298357181,0.9444444444444443,0.8786267777582819
AB,combined,1,0.9333333333333333,0.9533651298357181,0.937844611528822,0.9533651298357181,0.9444444444444443,0.8786267777582819
AB,combined,2,0.9333333333333333,0.9533651298357181,0.937844611528822,0.9533651298357181,0.9444444444444443,0.8786267777582819
AB,combined,3,0.9166666666666666,0.9231584525702172,0.9320175438596491,0.9231584525702172,0.9272727272727274,0.8414315280932476
AB,combined,4,0.9166666666666666,0.9231584525702172,0.9320175438596491,0.9231584525702172,0.9272727272727274,0.8414315280932476
AB,combined,5,0.9,0.8422540187246069,0.9203413940256046,0.8422540187246069,0.8692692692692693,0.8107158315569505
AB,combined,6,0.9,0.9141494435612083,0.9141494435612083,0.9141494435612083,0.9141494435612083,0.8111227701993704
AB,combined,7,0.9333333333333333,0.9321674615792263,0.9521367521367522,0.9321674615792263,0.9407894736842105,0.8734984801462586
AB,combined,8,0.9333333333333333,0.9321674615792263,0.9521367521367522,0.9321674615792263,0.9407894736842105,0.8734984801462586
AB,combined,9,0.9333333333333333,0.9533651298357181,0.937844611528822,0.9533651298357181,0.9444444444444443,0.8786267777582819
DT,combined,0,0.8666666666666667,0.9067302596714361,0.8845598845598847,0.9067302596714361,0.8917293233082706,0.7648707435956276
DT,combined,1,0.8666666666666667,0.8961314255431901,0.8837092731829573,0.8961314255431901,0.8888888888888888,0.7550216038649714
DT,combined,2,0.8666666666666667,0.8749337572866985,0.8905982905982907,0.8749337572866985,0.8815789473684211,0.7445688151800212
DT,combined,3,0.9,0.9141494435612083,0.9141494435612083,0.9141494435612083,0.9141494435612083,0.8111227701993704
DT,combined,4,0.8333333333333334,0.8781134075251722,0.8585858585858586,0.8781134075251722,0.8646616541353384,0.7039248676119122
DT,combined,5,0.8333333333333334,0.7850203144320792,0.867235656709341,0.7850203144320792,0.8142142142142142,0.6830440470597929
DT,combined,6,0.8666666666666667,0.9067302596714361,0.8845598845598847,0.9067302596714361,0.8917293233082706,0.7648707435956276
DT,combined,7,0.8833333333333333,0.8945416004239534,0.8538011695906432,0.8945416004239534,0.8577777777777778,0.7864637985309548
DT,combined,8,0.8333333333333334,0.8569157392686805,0.8569157392686805,0.8569157392686805,0.8569157392686805,0.6852046169989506
DT,combined,9,0.85,0.8871224165341812,0.8705882352941177,0.8871224165341812,0.8766653977921584,0.7289138849886757
GBT,combined,0,0.9833333333333333,0.9803921568627452,0.9912280701754387,0.9803921568627452,0.9854545454545455,0.9687603848034491
GBT,combined,1,0.9666666666666667,0.9607843137254902,0.982905982905983,0.9607843137254902,0.9703947368421053,0.9379633126293774
GBT,combined,2,0.9833333333333333,0.9803921568627452,0.9912280701754387,0.9803921568627452,0.9854545454545455,0.9687603848034491
GBT,combined,3,0.9333333333333333,0.9215686274509803,0.9674796747967479,0.9215686274509803,0.9384615384615383,0.8774781804887605
GBT,combined,4,0.9,0.8929517753047165,0.9337085678549094,0.8929517753047165,0.9076923076923077,0.8110863887746046
GBT,combined,5,0.9166666666666666,0.8512630277336161,0.9366471734892787,0.8512630277336161,0.8825396825396826,0.8406541833157885
GBT,combined,6,0.9166666666666666,0.9231584525702172,0.9320175438596491,0.9231584525702172,0.9272727272727274,0.8414315280932476
GBT,combined,7,0.95,0.9411764705882352,0.975,0.9411764705882352,0.954754922496858,0.9075538815661351
GBT,combined,8,0.9833333333333333,0.9803921568627452,0.9912280701754387,0.9803921568627452,0.9854545454545455,0.9687603848034491
GBT,combined,9,0.9666666666666667,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9370409233997902
LR,combined,0,0.9333333333333333,0.9533651298357181,0.9058201058201059,0.9533651298357181,0.9272690272690273,0.8789755818508235
LR,combined,1,0.9166666666666666,0.9443561208267091,0.8698257080610022,0.9443561208267091,0.900335345405768,0.8527062358140077
LR,combined,2,0.9166666666666666,0.9443561208267091,0.8899454518649565,0.9443561208267091,0.9138477589181814,0.851718616872422
LR,combined,3,0.9166666666666666,0.8978095742801625,0.8666355431061312,0.8978095742801625,0.8806380297113577,0.8456593880124071
LR,combined,4,0.8833333333333333,0.8797915562621444,0.8581699346405228,0.8797915562621444,0.8665355496341413,0.7902530618460678
LR,combined,5,0.8666666666666667,0.8707825472531354,0.8021664008506114,0.8707825472531354,0.8296296296296296,0.7663104607137777
LR,combined,6,0.95,0.962374138844727,0.9537037037037037,0.962374138844727,0.9577299412915851,0.90705717060063
LR,combined,7,0.9,0.9353471118177001,0.8417508417508417,0.9353471118177001,0.8761904761904762,0.8280484612220772
LR,combined,8,0.9,0.9247482776894541,0.8777777777777778,0.9247482776894541,0.8989621489621489,0.8175445569107542
LR,combined,9,0.9166666666666666,0.9443561208267091,0.8698257080610022,0.9443561208267091,0.900335345405768,0.8527062358140077
NB,combined,0,0.8833333333333333,0.7760996290408055,0.9191176470588235,0.7760996290408055,0.8193701723113488,0.7734101910932142
NB,combined,1,0.9,0.7957074721780604,0.9287749287749287,0.7957074721780604,0.8340016708437762,0.8074565819254994
NB,combined,2,0.9,0.7957074721780604,0.9287749287749287,0.7957074721780604,0.8340016708437762,0.8074565819254994
NB,combined,3,0.9,0.7957074721780604,0.9287749287749287,0.7957074721780604,0.8340016708437762,0.8074565819254994
NB,combined,4,0.9,0.8063063063063063,0.922972972972973,0.8063063063063063,0.8348348348348349,0.8119014061187032
NB,combined,5,0.8833333333333333,0.7866984631690515,0.912280701754386,0.7866984631690515,0.8207407407407407,0.7766833854458001
NB,combined,6,0.8833333333333333,0.7866984631690515,0.912280701754386,0.7866984631690515,0.8207407407407407,0.7766833854458001
NB,combined,7,0.8666666666666667,0.7670906200317965,0.9017094017094017,0.7670906200317965,0.8061821219715957,0.7416760049865585
NB,combined,8,0.85,0.7474827768945417,0.8911764705882352,0.7474827768945417,0.7911043205160851,0.7067847618533106
NB,combined,9,0.8833333333333333,0.7401519166225049,0.9212962962962963,0.7401519166225049,0.7744588744588744,0.7741559541015166
RF,combined,0,0.9666666666666667,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9370409233997902
RF,combined,1,0.9666666666666667,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9370409233997902
RF,combined,2,0.9333333333333333,0.9533651298357181,0.9058201058201059,0.9533651298357181,0.9272690272690273,0.8789755818508235
RF,combined,3,0.9333333333333333,0.9215686274509803,0.9674796747967479,0.9215686274509803,0.9384615384615383,0.8774781804887605
RF,combined,4,0.9333333333333333,0.9427662957074722,0.8986486486486487,0.9427662957074722,0.9135296010296011,0.8773772746456681
RF,combined,5,0.9166666666666666,0.8512630277336161,0.9366471734892787,0.8512630277336161,0.8825396825396826,0.8406541833157885
RF,combined,6,0.95,0.962374138844727,0.9537037037037037,0.962374138844727,0.9577299412915851,0.90705717060063
RF,combined,7,0.8666666666666667,0.8961314255431901,0.8292717086834734,0.8961314255431901,0.8565203859321505,0.7579680637341173
RF,combined,8,0.9,0.9141494435612083,0.8836872586872587,0.9141494435612083,0.8968268968268968,0.8126415484683789
RF,combined,9,0.9666666666666667,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9713831478537361,0.9370409233997902
SVM,combined,0,0.9333333333333333,0.9533651298357181,0.9058201058201059,0.9533651298357181,0.9272690272690273,0.8789755818508235
SVM,combined,1,0.95,0.962374138844727,0.9235138499844382,0.962374138844727,0.9410525010847332,0.9076503022222354
SVM,combined,2,0.9,0.9353471118177001,0.8756132756132756,0.9353471118177001,0.9007425007425008,0.8257391973505755
SVM,combined,3,0.95,0.962374138844727,0.9537037037037037,0.962374138844727,0.9577299412915851,0.90705717060063
SVM,combined,4,0.9,0.8888005652711536,0.872765246449457,0.8888005652711536,0.8796296296296297,0.8168241908116267
SVM,combined,5,0.9,0.8888005652711536,0.8486772486772486,0.8888005652711536,0.8667277167277168,0.8175445569107542
SVM,combined,6,0.95,0.962374138844727,0.9235138499844382,0.962374138844727,0.9410525010847332,0.9076503022222354
SVM,combined,7,0.9333333333333333,0.9068185832891715,0.9068185832891715,0.9068185832891715,0.9068185832891715,0.8740818467995802
SVM,combined,8,0.9,0.9247482776894541,0.8584033613445378,0.9247482776894541,0.8853874883286648,0.8190945204868686
SVM,combined,9,0.8833333333333333,0.9263381028086911,0.8258406432748537,0.9263381028086911,0.8624798711755233,0.8027645633434255
kNN,combined,0,0.85,0.7834304893128422,0.8150793650793652,0.7834304893128422,0.7961644090676349,0.7114437991148694
kNN,combined,1,0.8333333333333334,0.7744214803038331,0.7931623931623931,0.7744214803038331,0.7825292397660819,0.6801039826969025
kNN,combined,2,0.85,0.7834304893128422,0.8150793650793652,0.7834304893128422,0.7961644090676349,0.7114437991148694
