training_fraction,training_records_median,n_outer_splits,train_balanced_accuracy_mean,train_balanced_accuracy_sd,train_balanced_accuracy_ci_low,train_balanced_accuracy_ci_high,validation_balanced_accuracy_mean,validation_balanced_accuracy_sd,validation_balanced_accuracy_ci_low,validation_balanced_accuracy_ci_high,train_macro_f1_mean,train_macro_f1_sd,train_macro_f1_ci_low,train_macro_f1_ci_high,validation_macro_f1_mean,validation_macro_f1_sd,validation_macro_f1_ci_low,validation_macro_f1_ci_high
0.4,19,50,1.0,0.0,1.0,1.0,0.8015079365079366,0.16339318105705,0.7550721082420786,0.8479437647737946,1.0,0.0,1.0,1.0,0.7871268644209821,0.17329911961506045,0.7378757995662035,0.8363779292757607
0.55,26,50,0.999047619047619,0.0067343502970147314,0.9971337378694006,1.0,0.8612698412698413,0.1157378144538829,0.8283775183400995,0.894162164199583,0.9992851592851594,0.005054687169321065,0.9978486330861237,1.0,0.8594765974765974,0.12469506731752934,0.8240386514491272,0.8949145435040676
0.7,33,50,0.9931111111111112,0.013938761553816506,0.9891497589080117,0.9970724633142106,0.8681746031746032,0.14911083844890108,0.8257977717670937,0.9105514345821126,0.9947640613997037,0.010583949076932976,0.9917561363533125,0.997771986446095,0.8665402548374685,0.1586450130668458,0.821453840983792,0.9116266686911451
0.85,40,50,0.9873232323232324,0.014470451998434695,0.9832107753676753,0.9914356892787894,0.9133333333333334,0.14019380969397435,0.8734906934583392,0.9531759732083277,0.9904455695321608,0.010895317318473827,0.9873491546106223,0.9935419844536992,0.9130637465962542,0.14368288988690803,0.8722295211018558,0.9538979720906526
1.0,48,50,0.9823443223443223,0.011148330521735094,0.9791760018660182,0.9855126428226265,0.9526587301587301,0.082855706606087,0.9291113988814035,0.9762060614360568,0.9868371612141918,0.008299477769582009,0.98447847572982,0.9891958466985638,0.9541824798295387,0.08681606562823037,0.9295096269714848,0.9788553326875927
