repeat,fold,weighted,inner_best_balanced_accuracy,best_params,sensitivity_set
7,1,False,0.6876543209876543,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_exercise
7,2,False,0.7796296296296296,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_exercise
7,3,False,0.75,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_exercise
7,4,False,0.7611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_exercise
8,0,False,0.6555555555555554,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_exercise
8,1,False,0.8500000000000001,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_exercise
8,2,False,0.9111111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_exercise
8,3,False,0.7444444444444445,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_exercise
8,4,False,0.5222222222222223,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_exercise
9,0,False,0.7055555555555556,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_exercise
9,1,False,0.774074074074074,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_exercise
9,2,False,0.7722222222222221,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_exercise
9,3,False,0.8944444444444444,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_exercise
9,4,False,0.8333333333333334,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 50}",combined_without_exercise
0,0,False,0.9444444444444445,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
0,1,False,0.7611111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
0,2,False,0.7222222222222222,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
0,3,False,0.8444444444444444,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
0,4,False,0.6833333333333332,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
1,0,False,0.9222222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
1,1,False,0.7555555555555555,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",combined_without_lifestyle
1,2,False,0.9222222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
1,3,False,0.8777777777777778,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",combined_without_lifestyle
1,4,False,0.7111111111111111,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}",combined_without_lifestyle
