metric,estimate,bootstrap_ci_low,bootstrap_ci_high
accuracy,0.95,0.9083333333333333,0.9817083333333327
balanced_accuracy,0.9403462285815228,0.8913177883766119,0.9790885002649709
macro_f1,0.9523510859865327,0.9118502219748207,0.9824019982056073
mcc,0.9052649199450256,0.8272496292455942,0.9662242299090096
