metric,estimate,bootstrap_ci_low,bootstrap_ci_high
accuracy,0.9833333333333333,0.95,1.0
balanced_accuracy,0.9803921568627452,0.9411764705882352,1.0
macro_f1,0.9854545454545455,0.954754922496858,1.0
mcc,0.9687603848034491,0.9075538815661351,1.0
