Gender,repeat,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc
Female,0,1.0,1.0,1.0,1.0,1.0,1.0
Female,1,0.9666666666666667,0.9666666666666667,0.9833333333333334,0.9666666666666667,0.9739091318038686,0.9324975502356652
Female,2,1.0,1.0,1.0,1.0,1.0,1.0
Female,3,0.9,0.9,0.9545454545454546,0.9,0.9167862266857963,0.8017287071256265
Female,4,0.8666666666666667,0.8666666666666667,0.9420289855072465,0.8666666666666667,0.8849206349206349,0.7372908083210992
Female,5,0.9666666666666667,0.9824561403508771,0.9696969696969697,0.9824561403508771,0.9751179751179752,0.9351280264242515
Female,6,0.9,0.9157894736842106,0.9296296296296296,0.9157894736842106,0.921727395411606,0.7922723547115049
Female,7,0.9333333333333333,0.9333333333333332,0.9682539682539683,0.9333333333333332,0.9462962962962962,0.8665973059954893
Female,8,1.0,1.0,1.0,1.0,1.0,1.0
Female,9,1.0,1.0,1.0,1.0,1.0,1.0
Male,0,0.9666666666666667,0.9523809523809524,0.9824561403508771,0.9523809523809524,0.9653499653499654,0.9410985808433986
Male,1,0.9666666666666667,0.9523809523809524,0.9824561403508771,0.9523809523809524,0.9653499653499654,0.9410985808433986
Male,2,0.9666666666666667,0.9523809523809524,0.9824561403508771,0.9523809523809524,0.9653499653499654,0.9410985808433986
Male,3,0.9666666666666667,0.9523809523809524,0.9824561403508771,0.9523809523809524,0.9653499653499654,0.9410985808433986
Male,4,0.9333333333333333,0.9338624338624338,0.9338624338624338,0.9338624338624338,0.9338624338624338,0.8804780876494024
Male,5,0.8666666666666667,0.8005291005291005,0.9023809523809524,0.8005291005291005,0.8339598997493735,0.7557653987822085
Male,6,0.9333333333333333,0.9338624338624338,0.9338624338624338,0.9338624338624338,0.9338624338624338,0.8804780876494024
Male,7,0.9666666666666667,0.9523809523809524,0.9824561403508771,0.9523809523809524,0.9653499653499654,0.9410985808433986
Male,8,0.9666666666666667,0.9523809523809524,0.9824561403508771,0.9523809523809524,0.9653499653499654,0.9410985808433986
Male,9,0.9333333333333333,0.9338624338624338,0.9338624338624338,0.9338624338624338,0.9338624338624338,0.8804780876494024
