analysis,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,mcc_mean,mcc_std,mcc_min,mcc_max
combined_class_weighted,0.9233333333333332,0.026293687924887177,0.8833333333333333,0.95,0.9405405405405405,0.02323270458084471,0.9051404345521993,0.962374138844727,0.9353285349360846,0.022024292803527117,0.9013698630136986,0.9577299412915851,0.859396416992829,0.04831758720207149,0.7823757725799249,0.90705717060063
combined_unweighted_rerun,0.9483333333333333,0.03186584533266663,0.9,0.9833333333333333,0.9394453276806217,0.043564613094256265,0.8512630277336161,0.9803921568627452,0.9494897250709945,0.036081680414311285,0.8825396825396826,0.9854545454545455,0.9025434151258175,0.060552924593322795,0.8110863887746046,0.9687603848034491
combined_without_exercise,0.8766666666666666,0.03617515688022155,0.8333333333333334,0.9333333333333333,0.7947094152976506,0.05851649907325728,0.6903373962197491,0.8602720367426251,0.8093603840402475,0.05466011034052747,0.7179179179179179,0.8814460393407763,0.7641358188177889,0.06982654902587379,0.6783028053462928,0.8724011608934752
combined_without_lifestyle,0.885,0.03282012330609315,0.8333333333333334,0.9166666666666666,0.8017488076311606,0.044534594134709324,0.700936230347995,0.8512630277336161,0.8213249274557585,0.04010562279341452,0.7351734646038444,0.8672608437314319,0.7791350421811192,0.06338698767275658,0.6837518442128832,0.8414315280932476
